ID,TARGET
0,0
2,1
5,0
7,0
8,0
9,0
10,0
11,0
16,0
20,0
21,0
24,0
25,0
29,0
30,0
32,0
34,0
35,0
37,0
39,0
42,0
44,1
45,0
46,0
47,0
48,0
49,0
51,0
52,0
53,0
57,0
62,0
64,1
67,1
68,1
69,0
72,0
73,0
74,1
76,0
77,0
80,0
82,0
83,0
84,1
86,0
87,1
88,0
89,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
103,0
106,0
108,0
110,0
111,0
113,0
114,0
115,0
119,0
120,0
122,0
123,0
125,0
126,0
127,0
128,0
130,0
132,0
133,0
135,0
136,1
139,0
143,0
144,0
146,0
153,0
154,0
157,1
158,0
159,0
160,0
161,0
162,1
163,0
164,0
168,0
170,0
173,0
175,0
176,0
178,0
181,0
182,0
184,0
185,0
190,0
191,1
193,0
195,0
196,0
198,0
199,0
201,0
202,1
203,0
204,0
205,1
206,0
213,0
215,0
216,0
217,1
220,0
221,0
222,0
223,0
225,0
227,0
230,1
231,1
232,0
233,0
236,0
237,0
238,0
240,0
241,0
244,0
245,0
248,0
249,0
250,1
252,0
253,0
254,0
255,0
256,0
258,0
261,0
262,0
263,0
265,0
266,0
269,0
270,0
276,0
278,0
279,1
280,0
281,1
283,0
285,0
286,0
287,0
288,0
290,0
293,0
294,0
297,0
298,0
299,0
301,0
303,0
307,0
308,0
310,0
311,0
313,1
315,0
316,1
323,0
325,0
326,0
333,0
336,0
339,0
340,0
341,0
342,0
343,0
345,0
348,0
349,0
350,0
353,0
355,0
356,0
359,0
360,1
363,1
366,1
368,0
371,0
375,0
377,0
378,1
380,0
383,0
385,0
389,0
390,0
392,0
393,0
395,0
397,0
398,0
403,0
404,0
408,1
409,0
410,1
413,0
414,0
415,0
416,0
422,0
423,0
426,0
431,0
434,1
435,0
436,0
439,1
442,0
443,0
444,0
446,1
447,1
448,0
453,0
454,0
456,0
458,0
461,0
465,0
467,1
468,1
470,0
471,0
473,0
474,0
475,0
477,0
480,0
481,0
482,0
483,0
489,0
492,0
494,0
495,0
496,0
500,0
502,0
503,0
504,0
506,0
513,1
514,0
515,0
517,1
518,0
525,0
526,0
527,0
529,0
537,1
538,0
539,0
542,0
544,1
545,0
546,0
550,1
552,0
555,0
557,0
558,0
560,0
561,0
566,1
569,0
571,0
572,0
574,0
575,0
577,0
578,1
580,0
583,0
584,0
585,0
587,0
590,0
591,0
594,0
595,1
596,0
597,0
598,0
599,0
600,0
602,0
606,0
609,0
611,0
612,0
613,0
618,0
619,0
621,0
623,0
630,0
631,1
632,0
633,0
637,0
638,1
640,0
643,0
644,0
645,0
646,1
647,0
650,1
653,1
658,0
661,0
662,0
666,0
667,1
668,0
669,0
671,1
676,1
678,0
679,0
680,0
681,0
682,0
683,0
684,1
685,1
686,0
688,0
689,0
691,0
692,0
693,0
695,0
696,0
697,0
699,0
701,0
704,0
706,1
709,0
711,0
712,0
713,0
717,0
720,1
727,0
729,0
730,0
731,0
732,1
734,0
737,0
739,0
740,0
744,0
746,0
749,0
750,0
751,0
752,0
753,0
755,0
758,0
760,0
761,1
765,0
767,0
768,1
769,0
773,0
775,1
776,0
780,1
781,0
782,0
783,0
785,0
786,0
788,0
790,0
791,0
794,0
795,0
798,0
799,0
800,0
801,0
802,0
804,0
807,0
809,0
810,1
811,1
812,1
815,1
818,0
819,0
820,0
822,0
824,0
825,0
826,0
827,0
831,0
832,0
840,0
841,0
842,0
845,0
847,1
849,1
852,0
855,0
857,0
859,0
863,0
867,1
870,0
873,0
874,0
876,0
877,0
878,0
881,0
884,0
885,0
887,0
889,0
890,0
892,1
895,0
898,0
900,1
902,1
903,0
909,0
910,0
911,1
914,0
915,0
917,0
918,0
919,1
920,0
921,0
922,0
925,0
926,0
928,0
930,0
931,0
934,0
935,1
936,0
937,0
939,0
941,1
942,0
943,0
946,0
948,0
950,0
955,0
957,0
962,0
963,0
965,0
966,0
969,0
974,0
977,1
978,1
980,0
981,0
984,0
985,0
991,0
992,0
993,0
996,0
997,0
1002,0
1003,0
1004,0
1006,0
1007,0
1008,0
1009,1
1011,0
1013,0
1014,0
1015,0
1016,0
1017,1
1018,0
1020,1
1021,0
1024,0
1029,1
1032,0
1033,0
1034,0
1035,0
1037,0
1040,0
1045,0
1046,0
